PERMNO,date,TICKER,PRC,VOL,RET
90448,2023-01-24,GLD,180.28000,4604628,0.003619
90448,2023-01-25,GLD,181.11000,6925348,0.004604
90448,2023-01-26,GLD,179.47000,5860129,-0.009055
90448,2023-01-27,GLD,179.22000,6052728,-0.001393
90448,2023-01-30,GLD,178.75999,4210726,-0.002567
90448,2023-01-31,GLD,179.41000,5976888,0.003636
90448,2023-02-01,GLD,181.67000,7996005,0.012597
90448,2023-02-02,GLD,177.89999,8842396,-0.020752
90448,2023-02-03,GLD,173.46001,13674441,-0.024958
90448,2023-02-06,GLD,173.82001,8956963,0.002075
90448,2023-02-07,GLD,173.98000,6794153,0.000920
90448,2023-02-08,GLD,174.41000,4075638,0.002472
90448,2023-02-09,GLD,173.03000,5361340,-0.007912
90448,2023-02-10,GLD,173.36000,2971125,0.001907
90448,2023-02-13,GLD,172.48000,3970786,-0.005076
90448,2023-02-14,GLD,172.61000,5403099,0.000754
90448,2023-02-15,GLD,170.89000,5435337,-0.009965
90448,2023-02-16,GLD,170.75000,4540398,-0.000819
90448,2023-02-17,GLD,171.25999,4809799,0.002987
90448,2023-02-21,GLD,170.62000,4035933,-0.003737
90448,2023-02-22,GLD,169.66000,4105675,-0.005626
90448,2023-02-23,GLD,169.57001,5073479,-0.000530
90448,2023-02-24,GLD,168.35001,6496496,-0.007195
90448,2023-02-27,GLD,169.00999,4509151,0.003920
90448,2023-02-28,GLD,169.78000,6761585,0.004556
90448,2023-03-01,GLD,170.75999,6590468,0.005772
90448,2023-03-02,GLD,170.66000,3952266,-0.000586
90448,2023-03-03,GLD,172.49001,6894466,0.010723
90448,2023-03-06,GLD,171.62000,4264124,-0.005044
90448,2023-03-07,GLD,168.62000,8713268,-0.017480
90448,2023-03-08,GLD,168.53999,5718595,-0.000474
90448,2023-03-09,GLD,170.20000,5582980,0.009849
90448,2023-03-10,GLD,173.87000,13803437,0.021563
90448,2023-03-13,GLD,177.86000,20554417,0.022948
90448,2023-03-14,GLD,176.83000,10019032,-0.005791
90448,2023-03-15,GLD,178.21001,14546095,0.007804
90448,2023-03-16,GLD,178.57001,10764872,0.002020
90448,2023-03-17,GLD,183.77000,24156266,0.029120
90448,2023-03-20,GLD,183.84000,11845678,0.000381
90448,2023-03-21,GLD,180.37000,10734493,-0.018875
90448,2023-03-22,GLD,183.44000,11969561,0.017021
90448,2023-03-23,GLD,185.74001,11347149,0.012538
90448,2023-03-24,GLD,183.64999,9253075,-0.011252
90448,2023-03-27,GLD,181.95000,6925046,-0.009257
90448,2023-03-28,GLD,183.44000,6202597,0.008189
90448,2023-03-29,GLD,182.53000,4996493,-0.004961
90448,2023-03-30,GLD,184.17999,6360296,0.009040
90448,2023-03-31,GLD,183.22000,8003334,-0.005212
90448,2023-04-03,GLD,184.53999,9206635,0.007204
90448,2023-04-04,GLD,187.98000,13765361,0.018641
90448,2023-04-05,GLD,187.83000,11440827,-0.000798
90448,2023-04-06,GLD,186.49001,6648428,-0.007134
90448,2023-04-10,GLD,185.11000,6408114,-0.007400
90448,2023-04-11,GLD,186.28000,6031494,0.006321
90448,2023-04-12,GLD,187.19000,10000948,0.004885
90448,2023-04-13,GLD,189.72000,14060106,0.013516
90448,2023-04-14,GLD,186.36000,13272541,-0.017710
90448,2023-04-17,GLD,185.53000,7468062,-0.004454
90448,2023-04-18,GLD,186.25000,8056928,0.003881
90448,2023-04-19,GLD,185.36000,7373518,-0.004779
90448,2023-04-20,GLD,186.09000,5789908,0.003938
90448,2023-04-21,GLD,184.25000,10698705,-0.009888
90448,2023-04-24,GLD,184.81000,8303396,0.003039
90448,2023-04-25,GLD,185.75000,8451933,0.005086
90448,2023-04-26,GLD,184.74001,8203595,-0.005437
90448,2023-04-27,GLD,184.75000,9107425,0.000054
90448,2023-04-28,GLD,184.80000,6700418,0.000271
90448,2023-05-01,GLD,183.97000,7997658,-0.004491
90448,2023-05-02,GLD,187.52000,13554921,0.019297
90448,2023-05-03,GLD,189.11000,11133826,0.008479
90448,2023-05-04,GLD,190.44000,14146787,0.007033
90448,2023-05-05,GLD,187.46001,12508113,-0.015648
90448,2023-05-08,GLD,187.69000,6075441,0.001227
90448,2023-05-09,GLD,189.02000,7098810,0.007086
90448,2023-05-10,GLD,188.75000,9392097,-0.001428
